성수2가3동,"65,360","92,701","48,651","72,450","111,884","54,142","98,269","115,673","85,527"
송정동,,"82,828",,"93,857","135,507","31,381","76,508","83,328","56,048"
용답동,"76,942","90,737","58,065","78,016","111,863","38,880","75,159","96,397","58,514"
광진구,"89,832","104,467","68,355","91,875","112,814","64,634","93,435","112,757","65,119"
화양동,"114,875","146,868","69,047","134,629","173,036","94,478","132,076","157,434","96,662"
군자동,"94,617","119,153","46,773","72,291","99,769","47,561","89,776","116,399","50,867"
중곡1동,"61,125","72,204","47,994","77,813","87,261","58,360","78,923","95,257","33,186"
중곡2동,"66,923","75,801","44,991","71,544","96,867","38,987","70,438","90,535","42,425"
중곡3동,"60,963","72,749","38,130","64,458","73,472","36,290","74,840","90,458","44,256"
중곡4동,"92,136","87,565","99,396","84,152","110,938","38,950","75,506","96,940","38,761"
능동,"79,209","90,533","60,336","85,407","104,995","61,900","91,016","110,033","69,887"
광장동,"85,857","111,138","63,104","91,269","98,110","86,871","88,757","108,887","66,710"
자양1동,"87,677","102,406","52,155","103,210","123,267","74,378","91,643","96,644","80,051"
자양2동,"81,178","105,750","37,301","69,047","86,403","39,439","89,459","101,430","59,180"
자양3동,"90,186","94,116","76,430","96,296","111,330","72,419","109,342","117,479","95,005"
자양4동,"103,458","123,830","53,206","107,677","141,802","49,178","101,466","124,843","55,578"
구의1동,"83,134","102,635","44,884","76,852","93,761","50,613","96,027","115,087","64,605"
구의2동,"80,571","108,642","30,043","83,429","106,539","43,812","90,356","116,089","54,553"
구의3동,"115,705","131,548","110,357","106,595","143,335","91,082","85,975","120,127","71,639"
동대문구,"73,324","93,394","46,727","72,356","92,538","49,666","91,629","110,478","61,230"
용신동,"62,247","77,393","47,303","66,575","84,229","53,735","93,181","119,545","63,492"
제기동,"93,645","119,345","50,506","67,565","89,472","40,347","114,220","128,459","68,557"
전농1동,"70,831","80,697","46,166","75,845","95,232","50,254","108,720","111,317","100,207"
전농2동,"79,370","97,720","58,982",,"58,182",,"86,263","110,217","52,044"
답십리1동,"78,873","98,982","42,676","84,736","91,446","79,059","98,392","120,430","73,971"
답십리2동,"60,230","67,674","50,435","64,067","76,943","42,912","82,992","98,486","40,086"
장안1동,"57,002","76,650","38,304","67,503","93,421","46,122","74,698","102,459","47,229"
장안2동,"60,856","82,459","38,372","69,340","95,857","39,508","72,373","89,837","49,636"
청량리동,"101,266","123,762","47,839","65,467","77,857","37,590","77,417","83,296","57,969"
회기동,"112,286","126,206","89,418","97,096","120,149","57,138","118,098","126,370","103,988"
휘경1동,"121,885","163,566","46,102","69,565","85,319","50,947","98,643","119,129","53,575"
휘경2동,,"83,920",,"84,991","113,750","40,255","108,695","114,355","94,951"
이문1동,"78,419","90,272","57,253","105,797","121,914","70,877","97,036","112,145","59,660"
이문2동,"43,243","54,406","30,219","58,309","68,316","28,287",,"89,352",
중랑구,"70,850","89,833","40,026","73,594","93,064","38,679","71,153","88,270","44,067"
면목2동,"66,647","82,810","34,899","66,758","84,214","26,611","56,466","71,884","32,787"
면목4동,"49,101","65,697","29,738","61,921","73,708","30,487","69,621","74,126","63,693"
면목5동,"42,596","60,279","27,123","34,491","43,333","27,861","50,741","72,512","26,552"
면목본동,"70,350","93,391","32,497","68,074","85,247","31,274","69,992","88,223","32,855"
면목7동,"87,587","92,409","73,120","101,958","134,820","38,288","71,389","89,676","41,269"
면목3.8동,"72,317","89,161","34,195","67,086","90,189","37,762","73,202","88,866","44,009"
상봉1동,"60,883","76,690","35,197","56,240","65,428","44,297","78,940","92,574","58,489"
상봉2동,"74,192","87,157","46,494","83,020","106,337","46,839","70,318","88,769","41,618"
중화1동,"50,534","62,759","32,198","90,321","109,023","43,565","62,457","73,510","37,586"
중화2동,"78,050","100,481","40,399","74,141","88,979","40,755","77,186","94,265","48,050"
묵1동,"92,243","132,853","53,138","88,973","107,783","54,880","99,402","112,903","68,244"
묵2동,"56,938","70,346","29,164","68,250","85,999","37,189","74,876","94,717","42,751"
망우본동,"72,544","82,476","47,007","67,426","89,453","31,632","75,318","89,716","51,179"
망우3동,"61,125","103,864","30,956","57,759","66,913","38,617","48,638","62,399","30,577"
신내1동,"88,466","115,909","45,513","88,172","99,627","51,263","69,110","103,388","36,204"
신내2동,"73,367","101,805","54,965","95,237","142,955","51,856","79,546","116,622","56,729"
성북구,"77,780","94,339","53,180","80,578","101,745","51,962","87,666","104,659","62,483"
성북동,,"101,648",,"113,605","152,831","51,965","112,664","138,970","60,052"
삼선동,"87,286","111,252","51,967","81,116","105,064","53,932","91,665","114,236","60,631"
동선동,"83,328","111,862","56,295","114,719","150,347","70,709","114,405","137,053","78,672"
돈암1동,,,,,"82,648",,,,"49,503"
돈암2동,,,,,,,,,
안암동,"79,693","114,753","48,840","74,865","104,723","45,006","93,678","114,108","66,681"
보문동,"69,296","97,969","37,755","71,110","104,573","44,340","68,362","90,328","40,405"
정릉1동,"96,861","79,074","142,598","78,896","65,555","96,048","94,606","108,660","61,815"
정릉2동,"73,326","77,743","65,124","61,203","77,794","41,294","123,480","140,935","71,116"
정릉3동,,"68,031",,,"92,429",,"73,789","92,668","44,121"
정릉4동,"88,563","99,900","61,638","89,029","107,407","57,524","96,165","112,501","70,221"
길음1동,"96,126","131,826","79,466","129,965","163,930","93,574","114,431","111,429","116,934"
길음2동,"102,201","140,354","42,852","69,952","92,243","49,891","64,344","68,158","62,198"
종암동,"63,088","84,854","39,580","66,921","82,206","37,444","82,488","78,444","87,880"
월곡1동,"81,158","92,419","65,000","80,626","98,782","56,885","86,359","106,599","49,927"
월곡2동,"73,775","92,262","49,372","78,212","101,602","48,140","86,852","111,515","45,747"
장위1동,"59,092","72,829","25,513","44,876","51,051","34,377",,"62,372",
장위2동,"68,815","82,935","32,505","53,127","66,364","40,442","57,632","69,745","35,609"
장위3동,"58,794","78,065","30,959","53,795","72,383","25,912","68,306","92,292","49,855"
석관동,"69,087","79,241","42,573","72,998","87,550","25,985","71,751","81,099","57,729"
강북구,"73,525","86,769","48,286","78,747","95,553","47,750","84,489","94,208","64,069"
삼양동,"77,620","82,281","70,336","75,960","94,350","46,253","87,161","107,120","66,204"
미아동,"72,993","86,166","37,134","75,531","89,508","41,986","85,609","100,535","41,579"
송중동,"99,325","129,273","46,418","103,606","118,646","57,693","98,704","116,608","64,688"
송천동,"65,128","76,316","45,838","66,597","75,481","40,501","85,344","86,410","83,327"
삼각산동,"106,989","101,463","112,121","115,144","126,385","103,903","105,536","123,946","76,296"
번1동,"75,185","92,005","51,076","84,590","109,523","47,653","82,455","93,447","62,984"
번2동,"48,597","65,831","31,363",,,"27,541","58,333","58,212","58,575"
번3동,"82,098","100,524","32,083","54,574","84,347","27,778","65,274","87,023","50,217"
수유1동,"53,915","69,166","32,034","70,599","95,783","37,953","84,615","102,463","42,968"
수유2동,"58,755","68,351","31,246","69,359","96,152","26,489","76,506","71,119","89,262"
수유3동,"84,590","96,657","60,737","83,447","101,589","58,327","93,100","108,088","58,391"
우이동,"66,268","77,351","21,934","72,370","76,808","43,082","86,295","73,729","140,748"
인수동,"49,965","59,601","30,235","56,474","66,103","33,511","56,490","64,565","31,793"
도봉구,"71,116","88,721","44,025","75,980","93,369","48,124","80,609","97,494","51,583"
창1동,"78,959","108,236","55,537","72,074","89,387","44,869","92,438","89,133","99,048"
창2동,"60,524","74,266","39,912","57,006","71,577","30,105","63,027","80,877","36,721"
